sequencing_machine	# Samples	Date Range	# Reads	# Bases	GC Content
NovaSeq 6000	12	2023-12-03 to 2024-02-19	24.74B	7.47T	48.38%
NovaSeq X	8	2024-02-25 to 2024-04-14	18.75B	5.66T	48.94%
